属性,平均贡献率(%)
河网密,50.3879746880944
土壤渗,14.197789706796133
年均降,13.515114587974143
暴雨天,12.841056249277932
村庄分,3.8641433719042704
坡度,1.9432237970497745
行洪能,1.3932676746360524
耕地占,1.3844552582526342
dem,0.21646462367869448
公安,0.20410428915162904
委占比,0.04214878285329843
人口密,0.010256970331030886
