属性,平均贡献率(%)
河网密,41.19658571612882
行洪能,37.11862279170092
年均降,7.446807662929356
土壤渗,7.356417074835413
村庄分,2.022067651132952
公安,1.5271188041515753
坡度,1.497246311875685
人口密,0.6593337393728148
dem,0.584501644243656
医院,0.32001288258777577
耕地占,0.19168313674973522
委占比,0.07813746830628757
暴雨天,0.0014651159850109735
