属性,平均贡献率(%)
河网密,49.51798789748897
dem,22.42852117096981
年均降,9.388285171132377
土壤渗,5.611722252348045
暴雨天,5.3820452546908
坡度,3.96191317073891
委占比,1.8302034076225888
村庄分,0.9055488356050738
行洪能,0.7915261244383496
人口密,0.08689969845546877
耕地占,0.08529302438963869
公安,0.010053992119964088
