属性,平均贡献率(%)
河网密,54.90276067281393
年均降,16.357113028463566
土壤渗,15.255785685946629
暴雨天,7.978803830744452
耕地占,1.678605375574738
坡度,1.5300451911664703
公安,0.6716035952554417
行洪能,0.6547828282896143
dem,0.5313236061713572
村庄分,0.4285351847355419
GDP1占比,0.005371861904525103
医院,0.005269138933736322
