属性,平均贡献率(%)
河网密,36.23596255871686
行洪能,19.036133755369487
年均降,18.997057546715954
土壤渗,13.317797837526365
坡度,6.095470943156833
dem,2.628135300125935
暴雨天,2.138955565941486
村庄分,0.6503393769972245
医院,0.5370374970060964
公安,0.3010910860659857
弱占比,0.035505033504238816
卫占比,0.013256749436776178
GDP1占比,0.013256749436763051
