属性,平均贡献率(%)
河网密,53.82991363048023
土壤渗,16.63347837017687
暴雨天,9.887581330849518
年均降,9.456891128457952
村庄分,5.617857614036708
坡度,2.092763316131006
行洪能,1.2682943104840878
dem,0.6699662242141201
耕地占,0.533864279213007
公安,0.0053611345923031736
人口密,0.004028661364183782
