属性,平均贡献率(%)
河网密,33.2040662591146
行洪能,22.811134257496196
村庄分,15.797228197270435
土壤渗,10.848748527910033
年均降,4.066823467398828
dem,3.600712632229735
暴雨天,3.597315492940841
坡度,2.063223333604224
耕地占,2.0369719337284384
弱占比,0.48764414349337776
公安,0.3357623223921002
医院,0.2891530526799006
GDP1占比,0.283908751603913
委占比,0.25075710120851546
卫占比,0.20420891611616643
人口密,0.12234161081271669
